21:37:14 Reset everything (world change)
21:37:37 Reset everything (world change)
21:37:37 Reset everything (world change)
21:37:38 Reset everything (world change)
21:39:21 Added Nukekubi skulls at LorenzVec(x=-592.84375, y=56.90625, z=-196.78125)
21:39:21 Added Nukekubi skulls at LorenzVec(x=-595.0625, y=65.625, z=-196.21875)
21:39:53 Reset everything (world change)
21:39:55 Added Nukekubi skulls at LorenzVec(x=-602.21875, y=56.0, z=-202.1875)
21:40:01 Added Nukekubi skulls at LorenzVec(x=-601.46875, y=56.0, z=-202.4375)
21:40:15 Added Nukekubi skulls at LorenzVec(x=-591.3558384773663, y=60.8355195473251, z=-201.01714677640604)
21:41:24 Added enderman with beacon at LorenzVec(x=-529.71875, y=38.0, z=-228.80208333333334)
21:41:26 Added flying beacons at LorenzVec(x=-532.2604166666666, y=38.864583333333336, z=-225.26041666666666)
21:41:27 Replaced flying beacon with sitting beacon at LorenzVec(x=-527.0, y=39.0, z=-222.0)
21:41:28 Removed sitting beacon LorenzVec(x=-527.0, y=39.0, z=-222.0)
21:41:32 Added enderman with beacon at LorenzVec(x=-534.125, y=38.34375, z=-226.625)
21:41:33 Added Nukekubi skulls at LorenzVec(x=-596.15625, y=55.9375, z=-196.59375)
21:41:34 Added flying beacons at LorenzVec(x=-533.125, y=37.71875, z=-226.78125)
21:41:35 Replaced flying beacon with sitting beacon at LorenzVec(x=-531.0, y=39.0, z=-219.0)
21:41:37 Removed sitting beacon LorenzVec(x=-531.0, y=39.0, z=-219.0)
21:41:45 Added Nukekubi skulls at LorenzVec(x=-527.40625, y=38.9375, z=-230.5625)
21:41:46 Added enderman with beacon at LorenzVec(x=-527.3125, y=38.09375, z=-230.53125)
21:41:49 Added flying beacons at LorenzVec(x=-527.59375, y=37.5, z=-231.46875)
21:41:50 Replaced flying beacon with sitting beacon at LorenzVec(x=-518.0, y=38.0, z=-235.0)
21:41:51 Removed sitting beacon LorenzVec(x=-518.0, y=38.0, z=-235.0)
21:41:52 Added Nukekubi skulls at LorenzVec(x=-527.28125, y=39.03125, z=-230.5)
21:41:55 Added enderman with beacon at LorenzVec(x=-528.3263888888889, y=37.90625, z=-228.64583333333334)
21:42:40 Added Nukekubi skulls at LorenzVec(x=-552.71875, y=21.9375, z=-312.5)
21:42:48 Added Nukekubi skulls at LorenzVec(x=-548.78125, y=28.5, z=-307.65625)
21:42:54 Added Nukekubi skulls at LorenzVec(x=-527.9843535665294, y=40.165709304984, z=-233.0874199817101)
21:43:22 Added Nukekubi skulls at LorenzVec(x=-573.71875, y=11.25, z=-345.75)
21:43:24 Added enderman with beacon at LorenzVec(x=-589.03125, y=9.90625, z=-314.125)
21:43:26 Added flying beacons at LorenzVec(x=-587.84375, y=10.8125, z=-315.4375)
21:43:27 Replaced flying beacon with sitting beacon at LorenzVec(x=-582.0, y=10.0, z=-312.0)
21:43:28 Removed sitting beacon LorenzVec(x=-582.0, y=10.0, z=-312.0)
21:43:29 Added Nukekubi skulls at LorenzVec(x=-567.40625, y=14.0625, z=-341.6875)
21:43:32 Added enderman with beacon at LorenzVec(x=-591.6875, y=10.09375, z=-316.75)
21:43:33 Added Nukekubi skulls at LorenzVec(x=-580.71875, y=13.0, z=-348.28125)
21:43:34 Added flying beacons at LorenzVec(x=-591.03125, y=9.5, z=-317.53125)
21:43:35 Replaced flying beacon with sitting beacon at LorenzVec(x=-589.0, y=10.0, z=-308.0)
21:43:40 Removed sitting beacon LorenzVec(x=-589.0, y=10.0, z=-308.0)
21:44:47 Added Nukekubi skulls at LorenzVec(x=-536.375, y=21.15625, z=-305.65625)
21:44:52 Added Nukekubi skulls at LorenzVec(x=-532.875, y=21.9375, z=-316.375)
21:44:52 Added Nukekubi skulls at LorenzVec(x=-582.96875, y=51.9375, z=-357.5625)
21:44:58 Added Nukekubi skulls at LorenzVec(x=-541.65625, y=21.9375, z=-313.125)
21:44:58 Added Nukekubi skulls at LorenzVec(x=-552.71875, y=21.9375, z=-312.5)
21:45:04 Added Nukekubi skulls at LorenzVec(x=-552.71875, y=22.03125, z=-312.5)
21:45:05 Added Nukekubi skulls at LorenzVec(x=-574.5870627572016, y=51.91550925925926, z=-353.2622170781893)
21:45:52 Added enderman with beacon at LorenzVec(x=-594.625, y=26.0, z=-327.28125)
21:45:53 Added flying beacons at LorenzVec(x=-593.84375, y=26.46875, z=-330.90625)
21:45:54 Replaced flying beacon with sitting beacon at LorenzVec(x=-594.0, y=26.0, z=-341.0)
21:45:56 Removed sitting beacon LorenzVec(x=-594.0, y=26.0, z=-341.0)
21:45:59 Added enderman with beacon at LorenzVec(x=-591.78125, y=26.09375, z=-339.375)
21:46:01 Added flying beacons at LorenzVec(x=-592.75, y=25.5, z=-339.15625)
21:46:02 Replaced flying beacon with sitting beacon at LorenzVec(x=-586.0, y=26.0, z=-347.0)
21:46:02 Added flying beacons at LorenzVec(x=-586.7083333333334, y=25.802083333333332, z=-345.3020833333333)
21:46:03 Removed sitting beacon LorenzVec(x=-586.0, y=26.0, z=-347.0)
21:46:07 Added enderman with beacon at LorenzVec(x=-593.2256944444445, y=25.90625, z=-340.0335648148148)
21:46:11 Added Nukekubi skulls at LorenzVec(x=-591.0625, y=26.9375, z=-340.15625)
21:46:34 Added Nukekubi skulls at LorenzVec(x=-590.625, y=10.9375, z=-313.4375)
21:46:47 Added Nukekubi skulls at LorenzVec(x=-576.6979166666666, y=52.09375, z=-353.1145833333333)
21:47:27 Added enderman with beacon at LorenzVec(x=-604.4681927297668, y=10.0, z=-335.073988340192)
21:47:30 Added flying beacons at LorenzVec(x=-605.96875, y=9.5, z=-336.0)
21:47:30 Replaced flying beacon with sitting beacon at LorenzVec(x=-610.0, y=10.0, z=-345.0)
21:47:33 Removed sitting beacon LorenzVec(x=-610.0, y=10.0, z=-345.0)
21:47:36 Added enderman with beacon at LorenzVec(x=-606.9375, y=10.09375, z=-335.75)
21:47:38 Added flying beacons at LorenzVec(x=-607.2395833333333, y=10.166666666666668, z=-334.86458333333337)
21:47:39 Replaced flying beacon with sitting beacon at LorenzVec(x=-599.0, y=11.0, z=-340.0)
21:47:40 Removed sitting beacon LorenzVec(x=-599.0, y=11.0, z=-340.0)
21:47:47 Added Nukekubi skulls at LorenzVec(x=-546.1097435589842, y=31.733438271599752, z=-343.7219729847441)
21:47:47 Added Nukekubi skulls at LorenzVec(x=-552.34375, y=53.5625, z=-341.90625)
21:47:47 Added Nukekubi skulls at LorenzVec(x=-556.1875, y=52.03125, z=-345.75)
21:47:48 Added Nukekubi skulls at LorenzVec(x=-511.0625, y=40.84375, z=-277.53125)
21:47:51 Added Nukekubi skulls at LorenzVec(x=-607.96875, y=10.9375, z=-336.0625)
21:47:51 Added Nukekubi skulls at LorenzVec(x=-573.5, y=12.9375, z=-344.84375)
21:47:52 Added enderman with beacon at LorenzVec(x=-609.162037037037, y=10.0, z=-338.66435185185185)
21:47:52 Added Nukekubi skulls at LorenzVec(x=-555.34375, y=32.03125, z=-348.96875)
21:47:55 Added Nukekubi skulls at LorenzVec(x=-555.21875, y=52.65625, z=-349.6875)
21:47:55 Added Nukekubi skulls at LorenzVec(x=-517.84375, y=38.59375, z=-283.65625)
21:47:55 Added Nukekubi skulls at LorenzVec(x=-562.15625, y=43.09375, z=-302.84375)
