14:35:59 Reset everything (world change)
14:36:06 Reset everything (world change)
14:36:07 Reset everything (world change)
14:36:07 Reset everything (world change)
14:36:08 Reset everything (world change)
14:36:08 Reset everything (world change)
14:39:31 Reset everything (world change)
14:39:31 Reset everything (world change)
14:39:31 Reset everything (world change)
14:41:41 Reset everything (world change)
14:41:42 Reset everything (world change)
14:41:42 Reset everything (world change)
14:42:36 Added Nukekubi skulls at LorenzVec(x=-595.53125, y=13.9375, z=-364.1875)
14:42:43 Added Nukekubi skulls at LorenzVec(x=-607.0, y=11.9375, z=-359.6875)
14:42:55 Added Nukekubi skulls at LorenzVec(x=-611.15625, y=10.9375, z=-353.875)
14:42:57 Added Nukekubi skulls at LorenzVec(x=-557.6875, y=31.989583333333332, z=-351.40625)
14:43:01 Added Nukekubi skulls at LorenzVec(x=-607.75218321507, y=10.995099408965435, z=-351.11390759588863)
14:43:11 Added enderman with beacon at LorenzVec(x=-515.7916666666667, y=38.0, z=-281.55555555555554)
14:43:13 Added flying beacons at LorenzVec(x=-514.90625, y=37.75, z=-282.7291666666667)
14:43:14 Replaced flying beacon with sitting beacon at LorenzVec(x=-510.0, y=38.0, z=-275.0)
14:43:16 Removed sitting beacon LorenzVec(x=-510.0, y=38.0, z=-275.0)
14:43:16 Added Nukekubi skulls at LorenzVec(x=-600.28125, y=55.9375, z=-199.3125)
14:43:21 Added flying beacons at LorenzVec(x=-514.1875, y=38.90625, z=-279.5625)
14:43:22 Replaced flying beacon with sitting beacon at LorenzVec(x=-514.0, y=38.0, z=-274.0)
14:43:23 Removed sitting beacon LorenzVec(x=-514.0, y=38.0, z=-274.0)
14:43:27 Added enderman with beacon at LorenzVec(x=-512.6215277777778, y=38.0, z=-279.6493055555556)
14:43:30 Added Nukekubi skulls at LorenzVec(x=-602.125, y=54.65625, z=-195.96875)
14:43:35 Added Nukekubi skulls at LorenzVec(x=-597.6562875747261, y=57.38504621162086, z=-212.32215035394333)
14:43:36 Added Nukekubi skulls at LorenzVec(x=-511.9375, y=38.9375, z=-278.34375)
14:43:40 Added Nukekubi skulls at LorenzVec(x=-602.875, y=55.9375, z=-212.03125)
14:43:42 Added Nukekubi skulls at LorenzVec(x=-510.25, y=40.3125, z=-263.46875)
14:44:17 Added Nukekubi skulls at LorenzVec(x=-558.03125, y=32.0, z=-350.78125)
14:44:23 Added Nukekubi skulls at LorenzVec(x=-562.9097222222223, y=32.136574074074076, z=-347.74305555555554)
14:44:35 Added enderman with beacon at LorenzVec(x=-580.71875, y=12.0, z=-349.53125)
14:45:19 Added Nukekubi skulls at LorenzVec(x=-571.3125, y=13.3125, z=-348.09375)
14:45:23 Added Nukekubi skulls at LorenzVec(x=-574.21875, y=14.25, z=-348.8125)
14:45:26 Reset everything (world change)
14:45:32 Added enderman with beacon at LorenzVec(x=-541.4837962962963, y=21.0, z=-310.5069444444444)
14:45:34 Added enderman with beacon at LorenzVec(x=-541.25, y=21.09375, z=-322.75)
14:45:34 Added flying beacons at LorenzVec(x=-545.7083333333334, y=20.78125, z=-310.0833333333333)
14:45:35 Replaced flying beacon with sitting beacon at LorenzVec(x=-541.0, y=21.0, z=-317.0)
